image_url,image_location,image_calendar,image_copyright
https://bing.ioliu.cn/photo/AerialPantanal_EN-AU7117581218?force=download,"南美洲, 巴西, 潘塔纳尔湿地",2018-05-30,潘塔纳尔湿地，巴西 (© Lucas Leuzinger/Shutterstock)
https://bing.ioliu.cn/photo/KhumbuTents_EN-AU5075782050?force=download,"亚洲, 尼泊尔, 珠穆朗玛峰",2018-05-29,珠穆朗玛峰南基地营，尼泊尔 (© David Noyes/Danita Delimont)
https://bing.ioliu.cn/photo/AsiaticElephant_EN-AU14096716327?force=download,"亚洲, 印度, 吉姆科比特国家公园",2018-05-28,吉姆·科比特国家公园里的亚洲象，印度 (© Yashpal Rathore/Minden Pictures)
https://bing.ioliu.cn/photo/TSSSF_EN-AU11485959337?force=download,"北美洲, 美国, 旧金山",2018-05-27,金门大桥，美国旧金山 (© RICOWde/Getty Images)
https://bing.ioliu.cn/photo/SallyRideEarthKAM_EN-AU12501145178?force=download,欧洲,2018-05-26,位于国际空间站的Sally Ride EarthKAM由中学生编写程序后拍摄了撒哈拉沙漠的部分图像，非洲 (© NASA)
https://bing.ioliu.cn/photo/WineDay_EN-AU9984225481?force=download,"欧洲, 瑞士, 皮利",2018-05-25,皮利附近的葡萄庄园，瑞士沃州 (© Gallery Stock)
https://bing.ioliu.cn/photo/BklynBrdge_EN-AU13217737928?force=download,"北美洲, 美国, 纽约",2018-05-24,1883年在建设中的布鲁克林大桥，美国纽约 (© World History Archive/Alamy)
https://bing.ioliu.cn/photo/TurtleTears_EN-AU7942276596?force=download,"北美洲, 厄瓜多尔, 亚苏尼国家公园",2018-05-23,亚苏尼国家公园里的黄头侧颈龟，厄瓜多尔 (© Pete Oxford/Minden Pictures)
https://bing.ioliu.cn/photo/StormyCrater_EN-AU7574784479?force=download,"北美洲, 美国, 火山口湖国家公园",2018-05-22,火山口湖国家公园上方的乌云，美国俄勒冈州 (© Joseph Giacalone/SuperStock)
https://bing.ioliu.cn/photo/NamibFace_EN-AU6782882876?force=download,"欧洲, 纳米比亚, 纳米布沙漠",2018-05-21,纳米布沙漠，纳米比亚 (© Valerio Leone/Solent News/REX/Shutterstock)
https://bing.ioliu.cn/photo/Love_ZH-CN11474763511?force=download,欧洲,2018-05-20,520告白日湖中深情相对的两只水雉，中国九江市(© Jie Zhao/Getty News)
https://bing.ioliu.cn/photo/SpringtimeinGiverny_EN-AU6804745113?force=download,"欧洲, 法国, 吉维尼",2018-05-19,吉维尼小镇莫奈花园的春天，法国 (© Danita Delimont/Getty Images)
https://bing.ioliu.cn/photo/FalcoPeregrinus_EN-AU12306031452?force=download,"北美洲, 美国, 芝加哥",2018-05-18,在栏杆上行走的游隼，美国芝加哥 (© Luke Massey/Minden Pictures)
https://bing.ioliu.cn/photo/FishingWarehouses_EN-AU11622673825?force=download,"欧洲, 挪威, 特隆赫姆",2018-05-17,历史悠久的捕鱼仓库，挪威特隆赫姆 (© Oscar Dominguez/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/OakTreeMaize_EN-AU10918567606?force=download,"欧洲, 英国, 蒙茅斯郡",2018-05-16,蒙茅斯郡田地上的英国橡树，英国威尔士 (© Phil Savoie/Minden Pictures)
https://bing.ioliu.cn/photo/BushHyrax_EN-AU8373682343?force=download,"非洲, 肯尼亚, 马拉北部保护区",2018-05-15,马拉北部保护区的黄斑岩蹄兔，肯尼亚 (© Jonathan &amp; Angela Scott/Aurora Photos)
https://bing.ioliu.cn/photo/DolomitesBikeRace_EN-AU10922620742?force=download,"欧洲, 意大利, 巴迪亚",2018-05-14,多洛米蒂自行车马拉松比赛，意大利 (© Aurora Photos/Alamy)
https://bing.ioliu.cn/photo/ManateeMom_EN-AU9983570199?force=download,"北美洲, 美国, 克里斯特尔里弗",2018-05-13,三姐妹泉中的西印度海牛妈妈和它的宝宝，美国佛罗里达州 (© James R.D. Scott/Getty Images)
https://bing.ioliu.cn/photo/MontezumaSnowGeese_EN-AU9497504365?force=download,"北美洲, 美国, 蒙特苏马国家野生动物保护区",2018-05-12,蒙特苏马国家野生动物保护区里的雪雁，美国纽约州 (© Gerrit Vyn/Minden Pictures)
https://bing.ioliu.cn/photo/HollowRock_EN-AU10983730949?force=download,"北美洲, 美国, 苏必利尔湖",2018-05-11,苏必利尔湖的北岸，美国明尼苏达州 (© Matt Anderson Photography/Getty Images)
https://bing.ioliu.cn/photo/Kolonihavehus_EN-AU6388656996?force=download,"北美洲, 美国, 纽约",2018-05-10,"布鲁克林大桥公园展出的汤姆·弗鲁因的‘Kolonihavehus, 2010'作品，纽约布鲁克林区 (© Daniel Haug/Getty Images)"
https://bing.ioliu.cn/photo/LongtailedWidowbird_EN-AU9220859418?force=download,"非洲, 南非, 利特弗雷自然保护区",2018-05-09,利特弗雷自然保护区内的雄性长尾巧织雀，南非 (© Richard Du Toit/Getty Images)
https://bing.ioliu.cn/photo/LulworthCoveDorset_EN-AU6971167153?force=download,"欧洲, 英国, 拉尔沃思湾",2018-05-08,侏罗纪海岸的拉尔沃思湾，英格兰多塞特郡 (© Brian Jannsen/Danita Delimont)
https://bing.ioliu.cn/photo/Knuthojdsmossen_EN-CA12064544039?force=download,"欧洲, 瑞典, 西曼兰省",2018-05-07,西曼兰省的一片湿地，瑞典 (© Hans Strand/Getty Images)
https://bing.ioliu.cn/photo/NOTricentennial_EN-AU9747938022?force=download,"北美洲, 美国, 新奥尔良",2018-05-06,新奥尔良法国区的杰克逊广场，路易斯安那州 (© Edwin Remsberg/Getty Images)
https://bing.ioliu.cn/photo/Mariachis_EN-AU12291226765?force=download,"北美洲, 墨西哥, 圣米格尔德阿连德市",2018-05-05,墨西哥街头乐队，墨西哥瓜纳华托州圣米格尔德阿连德市 (© Holly Wilmeth/Getty Images)
https://bing.ioliu.cn/photo/PKUCHINA_ZH-CN12651058425?force=download,"亚洲, 中国, 北京",2018-05-04,北京大学120周年校庆中国最有声望的学府之一北京大学日落时的鸟瞰图(© Dong Wenjie/Getty Images)
https://bing.ioliu.cn/photo/Nazars_EN-AU13539612789?force=download,"亚洲, 土耳其, 格雷梅国家公园",2018-05-03,格雷梅国家公园里挂在树上装饰的邪眼护身符，土耳其卡帕多西亚 (© taratata/Getty Images)
https://bing.ioliu.cn/photo/EuropeanBarracuda_EN-AU14372678414?force=download,"欧洲, 葡萄牙, 福米加什群岛",2018-05-02,福米加什群岛沿岸环绕竹荚鱼组成的饵球的欧洲魣和蓝鱼，亚速尔群岛 (© Jordi Chias/Minden Pictures)
https://bing.ioliu.cn/photo/SONC_EN-AU9822965309?force=download,"欧洲, 意大利, 威尼斯",2018-05-01,2014年威尼斯建筑双年展展出的艺术家亨氏·麦克的“天在九柱之上”作品 (© Cahir Davitt/plainpicture)
https://bing.ioliu.cn/photo/MaryLouWilliams_EN-AU11937645356?force=download,"北美洲, 美国, 纽约",2018-04-30,1943年在纽约举行的爵士即兴演出中爵士乐钢琴家玛丽·卢·威廉斯的手部特写 (© Gjon Mili/Getty Images)
https://bing.ioliu.cn/photo/RubyBeach_EN-AU10077444396?force=download,"北美洲, 美国, 奥林匹克国家公园",2018-04-29,奥林匹克国家公园的红宝石海滩， 美国华盛顿州 (© Jason Savage/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/GreatGhost_EN-CA8900139658?force=download,"北美洲, 美国, 峡谷地国家公园",2018-04-28,峡谷地国家公园马蹄峡谷中艺术画廊的岩画，美国犹他州 (© Austin Cronnelly/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/YosemiteFog_EN-AU8423699903?force=download,"北美洲, 美国, 优胜美地国家公园",2018-04-27,优胜美地国家公园，美国加利福尼亚州 (© Grant Ordelheide/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/ClaretCup_EN-AU11621919077?force=download,"北美洲, 美国, 瓜达洛普山国家公园",2018-04-26,瓜达洛普山国家公园的红葡萄酒杯仙人掌，美国德克萨斯州 (© Clint Farlinger/Alamy)
https://bing.ioliu.cn/photo/WindCaveBison_EN-AU7790107398?force=download,"北美洲, 美国, 风穴国家公园",2018-04-25,风穴国家公园的美洲野牛，美国南达科他州 (© Newman Mark/SuperStock)
https://bing.ioliu.cn/photo/SatelliteGlades_ZH-CN11389308210?force=download,"北美洲, 美国, 大沼泽地国家公园",2018-04-24,大沼泽地国家公园的卫星视图，佛罗里达州 (© Satellite Earth Art/Aurora Photos)
https://bing.ioliu.cn/photo/HNPVisitors_EN-AU11559392254?force=download,"北美洲, 美国, 海勒卡拉国家公园",2018-04-23,海勒卡拉国家公园的哈莱亚卡拉火山顶端的游客，美国夏威夷州 (© Alex Messenger/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/TreeHugger_EN-AU10029857809?force=download,"北美洲, 美国, 卡特迈国家公园和自然保护区",2018-04-22,卡特迈国家公园和自然保护区里午睡的灰熊幼崽，阿拉斯加州 (© Suzi Eszterhas/Minden Pictures)
https://bing.ioliu.cn/photo/GrandPrismatic_EN-AU10311241592?force=download,"北美洲, 美国, 黄石国家公园",2018-04-21,黄石国家公园内的大棱镜温泉，美国 (© Media Drum World/Aurora Photos)
https://bing.ioliu.cn/photo/Grainrain_ZH-CN12722742960?force=download,亚洲,2018-04-20,今日谷雨平安村种植节期间龙胜梯田的忙碌景象(© gary76973/Getty Images)
https://bing.ioliu.cn/photo/TopDam_EN-AU10363924314?force=download,"欧洲, 英国, 艾兰山谷",2018-04-19,艾兰山谷的Craig Goch大坝，威尔士 (© Stephen Taylor/Alamy)
https://bing.ioliu.cn/photo/WoodPartridge_EN-AU11041638655?force=download,亚洲,2018-04-18,冕鹧鸪 (© Sue Demetriou/Offset)
https://bing.ioliu.cn/photo/ChildrenHarpa_EN-AU9564284589?force=download,"欧洲, 冰岛, 雷克雅未克",2018-04-17,在雷克雅未克哈帕音乐厅举办的儿童文化节，冰岛 (© Arctic-Images/Corbis Documentary/Getty Images)
https://bing.ioliu.cn/photo/MozambiqueSandbar_EN-AU11463522567?force=download,"大洋洲, 莫桑比克, 巴扎鲁托群岛",2018-04-16,巴扎鲁托群岛，莫桑比克 (© Jody MacDonald/Offset)
https://bing.ioliu.cn/photo/PaintedForest_EN-AU5613568462?force=download,"欧洲, 西班牙, 比斯开省",2018-04-15,比斯开省Oma山谷的“彩色树林”，西班牙 (© Juan Carlos Munoz/Minden Pictures)
https://bing.ioliu.cn/photo/DuskyDolphin_EN-AU11918143365?force=download,"大洋洲, 新西兰, 凯库拉",2018-04-14,凯库拉小镇的一群暗色斑纹海豚，新西兰 (© Terry Whittaker/Alamy)
https://bing.ioliu.cn/photo/VikingHouse_EN-AU10853372693?force=download,"欧洲, 爱尔兰, 都柏林",2018-04-13,都柏林国家植物园内的维京时代建筑模型，爱尔兰 (© George Munday/plainpicture)
https://bing.ioliu.cn/photo/SydneyClimbers_EN-AU8903928142?force=download,"大洋洲, 澳大利亚, 悉尼",2018-04-12,悉尼海港大桥，澳大利亚 (© Grant Faint/Offset)
https://bing.ioliu.cn/photo/ZhangjiajieLandscape_EN-AU12445284069?force=download,"亚洲, 中国, 张家界",2018-04-11,张家界国家森林公园，中国湖南省 (© aphotostory/Shutterstock)
https://bing.ioliu.cn/photo/ElephantSibs_EN-AU13884552392?force=download,"非洲, 肯尼亚, 安波塞利国家公园",2018-04-10,安波塞利国家公园内的一只成年大象和它的幼崽，肯尼亚 (© Tom Stahl/Offset)
https://bing.ioliu.cn/photo/LenaDelta_EN-AU7215744309?force=download,"欧洲, 俄罗斯, 勒拿河三角洲野生动物保护区",2018-04-09,位于西伯利亚的勒拿河三角洲野生动物保护区，俄罗斯 (© USGS EROS Data Center/NASA)
https://bing.ioliu.cn/photo/ResplendentQuetzal_EN-AU9863376005?force=download,亚洲,2018-04-08,雄性凤尾绿咬鹃，哥斯达黎加 (© mallardg500/Getty Images)
https://bing.ioliu.cn/photo/RiversMeet_EN-AU12862552604?force=download,"欧洲, 瑞士, 日内瓦",2018-04-07,流入罗纳河的阿尔沃河，瑞士日内瓦 (© Capchure/Getty Images)
https://bing.ioliu.cn/photo/WalkingEmperor_EN-AU11032000017?force=download,"南极洲, 南极洲, 斯诺希尔岛",2018-04-06,斯诺希尔岛上的皇帝企鹅，南极洲 (© David Tipling Photo Library/Alamy)
https://bing.ioliu.cn/photo/QingmingpeakingKite_ZH-CN11010837191?force=download,南极洲,2018-04-05,今日清明节“京剧脸谱风筝”，中国潍坊(© Li Yangang / TAO Images Limited / Alamy Stock Photo)
https://bing.ioliu.cn/photo/CardonCactus_EN-AU9317815400?force=download,亚洲,2018-04-04,武伦柱 (© Ed Reardon/Alamy)
https://bing.ioliu.cn/photo/UmbriaCastelluccio_EN-AU8834990889?force=download,"欧洲, 意大利, 卡斯特卢乔",2018-04-03,在 Piano Grande平原上的卡斯特卢乔小镇，意大利翁布里亚大区 (© beppeverge/Getty Images)
https://bing.ioliu.cn/photo/SevenMagicMountains_EN-AU9207394593?force=download,"北美洲, 美国, 拉斯维加斯",2018-04-02,琼干湖旁的七魔山装置艺术，美国内华达州 (© Renz Alfonso Dela Pena)
https://bing.ioliu.cn/photo/MarshmallowPeeps_EN-AU7218406167?force=download,"北美洲, 美国, 伯利恒",2018-04-01,今日愚人节/复活节伯利恒的果浆软糖工厂，美国宾夕法尼亚州 (© Kristoffer Tripplaar/Alamy)
https://bing.ioliu.cn/photo/NationalSpring_EN-AU10911968310?force=download,"北美洲, 美国, 华盛顿哥伦比亚特区",2018-03-31,国家广场内盛开的樱花，美国华盛顿哥伦比亚特区 (© Sean Pavone/Alamy)
https://bing.ioliu.cn/photo/SplitVestibule_EN-AU13382955266?force=download,"欧洲, 克罗地亚, 斯普利特",2018-03-30,戴克里先宫的前庭，克罗地亚斯普利特 (© Dreamer4787/Shutterstock)
https://bing.ioliu.cn/photo/HawaMahal_EN-AU6822334956?force=download,"亚洲, 印度, 斋浦尔",2018-03-29,风之宫，印度斋浦尔 (© Olena Tur/Shutterstock)
https://bing.ioliu.cn/photo/NCGSLShorelands_EN-AU12239696326?force=download,"北美洲, 美国, 大盐湖肖尔兰兹自然保护区",2018-03-28,大盐湖肖尔兰兹自然保护区，美国犹他州 (© Austin Cronnelly/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/DragonflyMacro_EN-AU9950962027?force=download,亚洲,2018-03-27,一只移居蜻蜓的微距照片 (© Petar Sabol Sharpeye/REX/Shutterstock)
https://bing.ioliu.cn/photo/BrokenObelisk_EN-AU11671918880?force=download,"非洲, 埃及, 阿斯旺",2018-03-26,埃及阿斯旺附近未完工的方尖碑 (© George Steinmetz/Getty Images)
https://bing.ioliu.cn/photo/Poortersloge_EN-AU12993653543?force=download,"欧洲, 比利时, 布鲁日",2018-03-25,扬·凡·艾克广场，比利时布鲁日 (© Aliaume Chapelle/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/ToucanetEcuador_EN-AU10296927148?force=download,亚洲,2018-03-24,厄瓜多尔的观鸟区内的绯腰巨嘴鸟，厄瓜多尔 (© Tui De Roy/Minden Pictures)
https://bing.ioliu.cn/photo/PeruCanyonClouds_EN-AU11073245814?force=download,亚洲,2018-03-23,今日世界气象日秘鲁太平洋沿岸Yauca和Acarí河上空的云层 (© Joshua Stevens/NASA)
https://bing.ioliu.cn/photo/WorldWaterDay_EN-AU11747740536?force=download,"欧洲, 奥地利, 萨尔茨堡",2018-03-22,萨尔茨堡附近的阿尔卑斯山内的Eibensee湖，奥地利  (© Christoph Oberschneider/Tandem Stills + Motion)
https://bing.ioliu.cn/photo/Sunbird1_ZH-CN12058461588?force=download,"亚洲, 中国, 梅里雪山国家公园",2018-03-21,今日春分梅里雪山国家公园内一只以桃花为食的蓝喉太阳鸟，中国云南省 (© Dong Lei/Minden Pictures)
https://bing.ioliu.cn/photo/TulipsEquinox_EN-AU11642351862?force=download,"欧洲, 荷兰, 赫罗洛",2018-03-20,赫罗洛村附近的郁金香，荷兰德伦特省 (© plainpicture/Buiten-Beeld/Karin Broekhuijsen)
https://bing.ioliu.cn/photo/DragonBridge_EN-AU11956700156?force=download,"亚洲, 中国, 台湾",2018-03-19,三仙台龙桥，台湾台东县 (© Anthony Ko/Getty Images)
https://bing.ioliu.cn/photo/XmasTreeRoad_EN-AU12038766323?force=download,"北美洲, 美国, 旧金山",2018-03-18,圣诞树路和双子峰，美国旧金山 (© Terence Chang/Getty Images)
https://bing.ioliu.cn/photo/RossErrilly_EN-AU10742524527?force=download,"欧洲, 爱尔兰, 戈尔韦郡",2018-03-17,Ross Errilly Friary，爱尔兰戈尔韦郡 (© plainpicture)
https://bing.ioliu.cn/photo/WolongPanda_EN-AU10387402321?force=download,"亚洲, 中国, 卧龙国家级自然保护区",2018-03-16,卧龙国家级自然保护区的大熊猫，中国四川 (© Lynn M. Stone/Minden Pictures)
https://bing.ioliu.cn/photo/PaperboyoOctopus_EN-AU9384087611?force=download,"欧洲, 意大利, 罗马",2018-03-15,罗马斗兽场，意大利 (© Paperboyo/PrincessCruises/Solent News/REX/Shutterstock)
https://bing.ioliu.cn/photo/ToroidalBubble_EN-AU9481815479?force=download,"北美洲, 巴哈马, 小巴哈马浅滩",2018-03-14,小巴哈马浅滩中的大西洋花斑原海豚和气泡环，巴哈马 (© Hiroya Minakuchi/Minden Pictures)
https://bing.ioliu.cn/photo/PulauWayagIslands_EN-AU12253313122?force=download,"亚洲, 印度尼西亚, 瓦亚格岛",2018-03-13,拉贾安帕特群岛的瓦亚格岛，印度尼西亚 (© Chris Caldicott/Offset)
https://bing.ioliu.cn/photo/Sanderlings_EN-AU8499525582?force=download,"欧洲, 荷兰, 泰尔斯海灵岛",2018-03-12,泰尔斯海灵岛上熟睡中的三趾鹬，荷兰 (© Inge van der Wulp/Minden Pictures)
https://bing.ioliu.cn/photo/OlomoucClock_EN-AU15652323383?force=download,"欧洲, 捷克, 奥洛穆茨",2018-03-11,奥洛穆茨上城广场天文时钟中映出的建筑物图像，捷克 (© scubabartek/iStock/Getty Images Plus)
https://bing.ioliu.cn/photo/JohnstonCanyon_EN-AU13753864901?force=download,"北美洲, 加拿大, 班夫国家公园",2018-03-10,班夫国家公园内的约翰斯顿峡谷，加拿大艾伯塔省 (© Radius Images/Offset)
https://bing.ioliu.cn/photo/DCCB_EN-AU11982634575?force=download,"北美洲, 美国, 多尔县",2018-03-09,多尔县沿海公路，美国威斯康星州 (© Krzysztof Hanusiak/Aurora Photos)
https://bing.ioliu.cn/photo/FearlessGirl_EN-AU8770808173?force=download,"北美洲, 美国, 纽约",2018-03-08,今日国际劳动妇女节克里斯汀·维斯巴尔创作的《无畏女孩》雕像，美国纽约 (© Jeenah Moon/Bloomberg via Getty Images)
https://bing.ioliu.cn/photo/NovaScotiaIce_EN-AU10982646880?force=download,亚洲,2018-03-07,黄昏时分，厚重的冰块紧贴着新斯科舍省的大西洋海岸，加拿大 (© shaunl/Getty Images)
https://bing.ioliu.cn/photo/Landsat7Bahamas_ZH-CN8824105008?force=download,亚洲,2018-03-06,巴哈马的沙滩和海藻卫星图 (© Serge Andrefouet/University of South Florida/NASA)
https://bing.ioliu.cn/photo/SeattlePublicLibrary_EN-AU9936150641?force=download,"北美洲, 美国, 西雅图",2018-03-05,西雅图中央图书馆，美国华盛顿 (© Sean Hemmerle/Gallery Stock)
https://bing.ioliu.cn/photo/AustralianBaobab_EN-AU9505720984?force=download,"大洋洲, 澳大利亚, 金伯利地区",2018-03-04,澳洲猴面包树，西澳大利亚州金伯利地区 (© plainpicture/Cultura)
https://bing.ioliu.cn/photo/MountainCougar_EN-AU12055030894?force=download,"南美洲, 阿根廷, 安第斯山脉",2018-03-03,安第斯山脉的一只美洲狮，阿根廷 (© Sebastian Kennerknecht/Minden Pictures)
https://bing.ioliu.cn/photo/LanternFestial_ZH-CN13235289391?force=download,亚洲,2018-03-02,今日元宵节乐圣岭天后宫悬挂的红灯笼，马来西亚吉隆坡 (© Black Cat Imaging/AlamyStock Photo)
https://bing.ioliu.cn/photo/NewOldBridge_EN-AU12192409966?force=download,"欧洲, 波斯尼亚和黑塞哥维那, 莫斯塔尔",2018-03-01,莫斯塔尔古桥，波斯尼亚和黑塞哥维那 (© Gavin Hellier/Minden Pictures)
https://bing.ioliu.cn/photo/ChurchillPB_EN-GB9374200792?force=download,"北美洲, 加拿大, 丘吉尔镇",2018-02-28,丘吉尔小镇附近的北极熊，加拿大马尼托巴省 (© Alberto Ghizzi Panizza/Minden Pictures)
